Class,CorrectSamples,MinimumCorrectConfidence,MaximumCorrectConfidence,ThresholdPercent
fm,105,1.05505560885066e-09,4.45089153945446,1.23018972786326e-07
bluetooth,31,3.98567046033804e-06,0.247577740810812,1.56479032398238e-05
wifi,42,5.07557190720931e-09,0.156310165766627,2.72676548007666e-07
cellular,57,8.93979335003792e-08,1.11260488629341,2.13595985343318e-06
lora,89,1.05624285359762e-09,32.235199213028,1.13486720021427e-07
ais,15,1.4478833065823e-05,37.3682111501694,3.49519666542619e-05
airband,9,7.44233972227448e-06,0.00652982052997686,1.85086577175753e-05
RS41-Radiosonde,41,1.60794450670965e-09,0.177149707451463,1.30240582207897e-08
